"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"3209","Normal/Others","WS/MP838/2024-2025/94379-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Kanganakota Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3210","Normal/Others","WS/MP838/2024-2025/94381-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Bhavagi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3211","Normal/Others","WS/MP838/2024-2025/94383-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Sangolagi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3212","Normal/Others","WS/MP838/2024-2025/94400-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Thadapalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3213","Normal/Others","WS/MP838/2024-2025/94402-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Patharapalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3214","Normal/Others","WS/MP838/2024-2025/94406-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Shekhapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3215","Normal/Others","WS/MP838/2024-2025/94411-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Honnaddi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3216","Normal/Others","WS/MP838/2024-2025/94414-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Chattanalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","36000","Physical Inspection"
"3217","Normal/Others","WS/MP838/2024-2025/94426-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Sindhola Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3218","Normal/Others","WS/MP838/2024-2025/94448-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Rajagira Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3219","Normal/Others","WS/MP838/2024-2025/94449-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Hokrana B Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3220","Normal/Others","WS/MP838/2024-2025/94452-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Cheethalagera Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3221","Normal/Others","WS/MP838/2024-2025/94490-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Barura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3222","Normal/Others","WS/MP838/2024-2025/94493-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Chitta Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3223","Normal/Others","WS/MP838/2024-2025/94496-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Chitta Wadi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3224","Normal/Others","WS/MP838/2024-2025/94499-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Ghodampalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","36000","Physical Inspection"
"3225","Normal/Others","WS/MP838/2024-2025/94502-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Nagoora Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3226","Normal/Others","WS/MP838/2024-2025/94514-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Gunnalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3227","Normal/Others","WS/MP838/2024-2025/94522-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Khasampura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3228","Normal/Others","WS/MP838/2024-2025/94525-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Kadwada Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3229","Normal/Others","WS/MP838/2024-2025/94527-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Sirsi A Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3230","Normal/Others","WS/MP838/2024-2025/94530-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Aurada S Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3231","Normal/Others","WS/MP838/2024-2025/94532-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Bagadala Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3232","Normal/Others","WS/MP838/2024-2025/94534-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Baapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3233","Normal/Others","WS/MP838/2024-2025/94536-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Kholara K Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3234","Normal/Others","WS/MP838/2024-2025/94538-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Nijampura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3235","Normal/Others","WS/MP838/2024-2025/94539-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Kapalapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3236","Normal/Others","WS/MP838/2024-2025/94541-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Seekindrapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3237","Normal/Others","WS/MP838/2024-2025/94550-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Anadurawadi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3238","Normal/Others","WS/MP838/2024-2025/94552-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Anadura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3239","Normal/Others","WS/MP838/2024-2025/94553-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Kanakatta Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3240","Normal/Others","WS/MP838/2024-2025/94555-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Hunasagera Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3241","Normal/Others","WS/MP838/2024-2025/94557-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ghataborala Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3242","Normal/Others","WS/MP838/2024-2025/94563-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ghodawadi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3243","Normal/Others","WS/MP838/2024-2025/94566-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Handikera Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3244","Normal/Others","WS/MP838/2024-2025/94575-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Sonakera Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3245","Normal/Others","WS/MP838/2024-2025/94578-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Chandanahalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3246","Normal/Others","WS/MP838/2024-2025/94579-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Kumarachincholli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3247","Normal/Others","WS/MP838/2024-2025/94580-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Madaragaon Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3248","Normal/Others","WS/MP838/2024-2025/94581-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Vaddanakera Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3249","Normal/Others","WS/MP838/2024-2025/94582-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Jalasangi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3250","Normal/Others","WS/MP838/2024-2025/94583-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Kaparagaon Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3251","Normal/Others","WS/MP838/2024-2025/94827-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Neerna Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3252","Normal/Others","WS/MP838/2024-2025/94828-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Muthangi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3253","Normal/Others","WS/MP183/2023-2024/94829-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","BLOCK- TUNDLA. GRAM PANCHAYAT TIKRI BYPASS PAR RAKESH YADAV KE GHAR SE PHORAN SINGH KE GHAR TAK INTERLOCKING WORKS . LENGTH= 200 MTRs.  COST=16 LAKH. C/o MANVENDRA SINGH, CONTACT NO.- 7906537257.","03-Feb-2024","12-Mar-2024","1599671","Physical Inspection"
"3254","Normal/Others","WS/MP838/2024-2025/94830-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Govinda thanda Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3255","Normal/Others","WS/MP838/2024-2025/94831-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Bhadrapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
