"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2976","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/230423","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","27-Feb-2026","SUDHIR NARAYANRAO DESHMUKH","Payment Success","1991704"
"2977","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2025-2026/201274","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","12-Mar-2026","G VENKATAIAH","Payment Success","297310"
"2978","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2025-2026/201275","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","12-Mar-2026","G VENKATAIAH","Payment Success","242911"
"2979","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP146/2024-2025/11893","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","20-Mar-2026","DHAKA MATERIAL SUPPLIERS","Payment Success","1210000"
"2980","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP889/2025-2026/186676","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","02-Mar-2026","BHALGAM GRUP GRAM PANCHAYAT","Payment Success","350000"
"2981","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/31436","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Rambhau Padam","Payment Success","6000"
"2982","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/26206","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Ravina Evaney","Payment Success","2970"
"2983","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/26206","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Champa Dharasing Uikey","Payment Success","2970"
"2984","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/26206","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Pramesh Dharasing Uikey","Payment Success","2970"
"2985","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/26206","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Netram Dhurve","Payment Success","3850"
"2986","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/26206","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Durga Dhurve","Payment Success","2240"
"2987","Punjab","Purchase of training equipment","WS/MP844/2025-2026/244229","MOGA(Deputy Commissioner Moga)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","05-Mar-2026","Amarjoti Traders","Payment Success","232000"
"2988","Punjab","Purchase of training equipment","WS/MP844/2025-2026/244229","MOGA(Deputy Commissioner Moga)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","05-Mar-2026","Vishal Tools","Payment Success","29860"
"2989","Gujarat","Providing supply pipelines for drinking water","WS/MP18403/2025-2026/242084","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","30-Jun-2026","Ditasan Gram Panchayat","Payment Success","200000"
"2990","Maharashtra","Construction of boundary walls of existing public and community buildings","WS/MP18292/2026-2027/157902","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","17-Apr-2026","ARJUN SANJAY MORE","Payment Success","1498000"
"2991","Madhya Pradesh","Construction of culverts and bridges","WS/MP106/2025-2026/1464","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","27-Feb-2026","PUSPENDRA PATEL","Payment Success","250000"
"2992","Madhya Pradesh","Construction of culverts and bridges","WS/MP106/2025-2026/1464","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","03-Aug-2026","PUSPENDRA PATEL","Payment Success","50000"
"2993","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP141/2025-2026/213252","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","09-Mar-2026","Saini Cement Store Lamien","Payment Success","39494"
"2994","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP141/2025-2026/213252","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","09-Mar-2026","Saini Cement Store Lamien","Payment Success","39000"
"2995","Odisha","Construction of common work sheds/ common covered sitting area","WS/MP138/2025-2026/253607","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Mar-2026","Pramod Giri","Payment Success","1000000"
"2996","Punjab","Construction of buildings for multi-gym","WS/MP141/2025-2026/213250","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","21-Aug-2026","Salaria Trading Company Ghogra","Payment Success","42900"
"2997","Punjab","Purchase of training equipment","WS/MP844/2025-2026/244229","MOGA(Deputy Commissioner Moga)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","05-Mar-2026","New Elite Furniture Palace","Payment Success","76700"
"2998","Kerala","Lighting of public spaces","WS/MP101/2026-2027/282437","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","24-Aug-2026","MERKURY ELECTRICAL CORPORATION","Payment Success","235000"
"2999","Kerala","Lighting of public spaces","WS/MP101/2026-2027/282438","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","24-Aug-2026","MERKURY ELECTRICAL CORPORATION","Payment Success","235000"
"3000","Kerala","Lighting of public spaces","WS/MP101/2026-2027/282439","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","24-Aug-2026","MERKURY ELECTRICAL CORPORATION","Payment Success","235000"
"3001","Kerala","Lighting of public spaces","WS/MP101/2026-2027/282440","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","24-Aug-2026","MERKURY ELECTRICAL CORPORATION","Payment Success","235000"
"3002","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Sumit Trading Company","Payment Success","175500"
"3003","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267404","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-Mar-2026","Sumit Trading Company","Payment Success","70200"
"3004","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Mar-2026","Sumit Trading Company","Payment Success","35100"
"3005","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","21-May-2026","Sumit Trading Company","Payment Success","70200"
"3006","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Mar-2026","Kali Ram Ved Parkash","Payment Success","68000"
"3007","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Mar-2026","Kali Ram Ved Parkash","Payment Success","68000"
"3008","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Kali Ram Ved Parkash","Payment Success","72000"
"3009","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Kali Ram Ved Parkash","Payment Success","72000"
"3010","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jul-2026","Kali Ram Ved Parkash","Payment Success","72000"
"3011","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Kali Ram Ved Parkash","Payment Success","19200"
"3012","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Kali Ram Ved Parkash","Payment Success","68000"
"3013","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Mar-2026","Kali Ram Ved Parkash","Payment Success","68000"
"3014","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/258794","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","18-May-2026","DHARMENDRA KUMAR RAO","Payment Success","672264"
"3015","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/258794","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","25-Jun-2026","DHARMENDRA KUMAR RAO","Payment Success","226919"
"3016","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2024-2025/132889","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","27-Feb-2026","SHABBIR MOHAMMED LUHAR","Payment Success","763222"
"3017","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2024-2025/132889","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","27-Feb-2026","SHABBIR MOHAMMED LUHAR","Payment Success","670573"
"3018","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP147/2025-2026/204846","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","05-Mar-2026","KHYALIA BULLDERS","Payment Success","609279"
"3019","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP147/2025-2026/204846","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","10-Apr-2026","KHYALIA BULLDERS","Payment Success","872584"
"3020","Rajasthan","Construction of community centers and community halls","WS/MP148/2024-2025/160658","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","10-Mar-2026","PD ENGINEERS","Payment Success","906423"
"3021","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2025-2026/135698","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","28-Feb-2026","SINEESH NT","Payment Success","1114313"
"3022","Kerala","Purchase of vans and buses for educational institutions","WS/MP102/2025-2026/207612","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","03-Mar-2026","HEADMASTER UPPUTHODE","Payment Success","101000"
"3023","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2026-2027/206378","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","17-Jul-2026","SATHEESAN N","Payment Success","918028"
"3024","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2024-2025/145600","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","05-Mar-2026","RAHINA MADASSERY","Payment Success","366609"
"3025","Rajasthan","Construction of bus-sheds or bus-stops","WS/MP18298/2025-2026/173980","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","16-Apr-2026","ASHAPURA CONTRACTOR KOLIWARA","Payment Success","52000"
"3026","Rajasthan","Construction of bus-sheds or bus-stops","WS/MP18298/2025-2026/173974","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","27-Feb-2026","ASHAPURA CONTRACTOR KOLIWARA","Payment Success","200000"
"3027","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249251","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","18-Jun-2026","DURGA BHUSHAN ENTERPRISE","Payment Success","234310"
"3028","Uttar Pradesh","Construction of culverts and bridges","WS/MP019/2025-2026/165026","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","28-Feb-2026","DURGA BHUSHAN ENTERPRISE","Payment Success","600080"
"3029","Uttar Pradesh","Construction of culverts and bridges","WS/MP019/2025-2026/165026","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","10-Apr-2026","DURGA BHUSHAN ENTERPRISE","Payment Success","137379"
"3030","Uttar Pradesh","Construction of culverts and bridges","WS/MP019/2025-2026/165026","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","18-Jun-2026","DURGA BHUSHAN ENTERPRISE","Payment Success","249044"
"3031","Bihar","Construction of buildings for community cultural activities","WS/MP18407/2025-2026/232213","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","22-Jul-2026","NITU DEVI","Payment Success","1477739"
"3032","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/232214","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","11-Mar-2026","NITU DEVI","Payment Success","1490592"
"3033","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP18407/2025-2026/236744","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","18-Aug-2026","NITU DEVI","Payment Success","992610"
"3034","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/236742","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","20-Aug-2026","NITU DEVI","Payment Success","997632"
"3035","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/228985","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","06-Mar-2026","GRAM PANCHAYAT KARYALAY BEMBRA TQ DEGLOOR","Payment Success","999000"
"3036","Kerala","Purchase Books for Library","WS/MP096/2025-2026/238407","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","07-Mar-2026","DC BOOKS","Payment Success","50000"
"3037","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/258779","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","05-Mar-2026","FOJI CONSTRUCTION CO","Payment Success","750000"
"3038","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/258780","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","05-Mar-2026","FOJI CONSTRUCTION CO","Payment Success","750000"
"3039","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/180808","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","03-Mar-2026","JAI BHAWANI TRADERS","Payment Success","240000"
"3040","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/180808","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","25-Mar-2026","JAI BHAWANI TRADERS","Payment Success","210000"
"3041","Punjab","Construction of community centers and community halls","WS/MP140/2025-2026/255047","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","05-Mar-2026","MS GURMAIL IRON STORE","Payment Success","15600"
"3042","Punjab","Construction of community centers and community halls","WS/MP140/2025-2026/255047","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","05-Mar-2026","MS GURMAIL IRON STORE","Payment Success","44000"
